SAP Id|LineId|Certificate Number|Product Sheet number|Issue number|Title|Description|Product Code|Status|Issue Date	
32056|1|06/4389|1|1|Build It Green - Sip Loadbearing Wall and Roof Panels|||Withdrawn|	
32073|1|06/G004|1|1|Indupinho Pine Plywood|||Withdrawn|	
32431|1|67/0001|1|1|Hyload|||Withdrawn|	
32432|1|67/0002|1|1|Jonwindow (Model 421) Devac Thermo-Barrier|||Withdrawn|	
32433|1|67/0003|1|1|Jonwindow (Model 418) Devac Thermo-Barrier|||Withdrawn|	
32434|1|68/0004|1|1|Chemidus 3000 and Z Joint|||Withdrawn|	
32436|1|68/0006|1|1|Icl5  Icl6|||Withdrawn|	
32437|1|68/0007|1|1|Isf 73|||Withdrawn|	
32438|1|68/0008|1|1|Eton V4840|||Withdrawn|	
32439|1|68/0009|1|1|Gang-Nail Fink Or W|||Withdrawn|	
32440|1|68/0010|1|1|Standard Muniplan|||Withdrawn|	
32441|1|68/0011|1|1|Gun-Lath (Standard) Gun-Lath (24 In) Aqua-K-Lath (Standard) Aqua-K-Lath (24 In)|||Withdrawn|	
32442|1|68/0012|1|1|Lytag|||Withdrawn|	
32443|1|68/0013|1|1|Lytag|||Withdrawn|	
32444|1|68/0014|1|1|Econa G and B|||Withdrawn|	
32445|1|68/0015|1|1|Estercrete Flooring Mix One|||Withdrawn|	
32446|1|68/0016|1|1|Marleydek|||Withdrawn|	
32447|1|68/0017|1|1|Thermalite|||Withdrawn|	
32448|1|68/0018|1|1|Roofmate|||Withdrawn|	
32449|1|68/0019|1|1|Uniroof|||Withdrawn|	
32450|1|68/0020|1|1|Pozament|||Withdrawn|	
32451|1|68/0021|1|1|Grevak Monitor|||Withdrawn|	
32452|1|68/0022|1|1|Gang-Nail Punched Metal Plate Fasteners|||Withdrawn|	
32453|1|68/0023|1|1|Ruberquilt|||Withdrawn|	
32454|1|68/0024|1|1|Aqua-K-Lath X (Standard)  Aqua-K-Lath X (24 In)|||Withdrawn|	
32455|1|69/0025|1|1|Bristrand 100|||Withdrawn|	
32456|1|69/0026|1|1|Rocla Rolling and Sliding Joints|||Withdrawn|	
32457|1|69/0027|1|1|Kavi-Ties Type T1|||Withdrawn|	
32458|1|69/0028|1|1|Hermeseal Rockwool|||Withdrawn|	
32459|1|69/0029|1|1|Nuralite|||Withdrawn|	
32460|1|69/0030|1|1|Bi-Steel|||Withdrawn|	
32461|1|69/0031|1|1|Somerset|||Withdrawn|	
32462|1|69/0032|1|1|Swiftcrete|||Withdrawn|	
32463|1|69/0033|1|1|Fast-Test Flexible Joint|||Withdrawn|	
32464|1|69/0034|1|1|System Ernst|||Withdrawn|	
32465|1|69/0035|1|1|Thermalite|||Withdrawn|	
32466|1|69/0036|1|1|Sandtex Matt|||Withdrawn|	
32467|1|69/0037|1|1|Sandtex-Textured|||Withdrawn|	
32468|1|69/0038|1|1|Sandtex Matt|||Withdrawn|	
32469|1|69/0039|1|1|Duraflor 16|||Withdrawn|	
32470|1|69/0040|1|1|Duraflor 26|||Withdrawn|	
32471|1|69/0041|1|1|Permawarm I  Permawarm II  (New Permawarm)|||Withdrawn|	
32472|1|69/0042|1|1|Liljendahl Vacuum Sewerage System|||Withdrawn|	
32473|1|69/0043|1|1|Diploma Warwick|||Withdrawn|	
32474|1|69/0044|1|1|Cosyfelt Standard 1In Cosyfelt Standard 2In Cosyfelt Supa 1In Cosyfelt Supa 2In|||Withdrawn|	
32475|1|69/0045|1|1|Parkaflue|||Withdrawn|	
32476|1|69/0046|1|1|Prinsulator|||Withdrawn|	
32477|1|69/0047|1|1|Polycell Cement Paint|||Withdrawn|	
32478|1|69/0048|1|1|Ufoam|||Withdrawn|	
32479|1|69/0049|1|1|Topic|||Withdrawn|	
32480|1|69/0050|1|1|Corrply Beams|||Withdrawn|	
32481|1|69/0051|1|1|Plastidrain|||Withdrawn|	
32482|1|69/0052|1|1|Hydro-Nail 18 Gauge E|||Withdrawn|	
32483|1|69/0053|1|1|Hydro-Nail 20 Gauge|||Withdrawn|	
32484|1|69/0054|1|1|Osmadrain|||Withdrawn|	
32485|1|70/0055|1|1|Marscar Access System to Underground Drains|||Withdrawn|	
32486|1|70/0056|1|1|Hyload Damp-Proof Course for Walls|||Withdrawn|	
32487|1|70/0057|1|1|Excolene 200 Chemical Stone Cleaner|||Withdrawn|	
32488|1|70/0058|1|1|Fibreglass D.P. Dry Lining System for Thermal Insulation|||Withdrawn|	
32489|1|70/0059|1|1|Permaflex Damp Proof Course for Walls|||Withdrawn|	
32490|1|70/0060|1|1|Aspect Plastics Drainage Inspection Chamber Base|||Withdrawn|	
32491|1|70/0061|1|1|Accolux Floor Covering|||Withdrawn|	
32492|1|70/0062|1|1|Formica Lifeseal Type V1215 UPVC Vertical Sliding Windows|||Withdrawn|	
32493|1|70/0063|1|1|Twinaplate Timber Connectors|||Withdrawn|	
32494|1|70/0064|1|1|Tufflex Shiplap External Cladding|||Withdrawn|	
32495|1|70/0065|1|1|Vynaclad Sheet PVC Roof Covering|||Withdrawn|	
32496|1|70/0066|1|1|Stenni 66 External Decorative Cladding Panel|||Withdrawn|	
32497|1|70/0067|1|1|Cheecolite Cavity Heat-Dried Roofing Screeds|||Withdrawn|	
32498|1|70/0068|1|1|Hyload Tanking System|||Withdrawn|	
32499|1|70/0069|1|1|Oroglas Acrylic Sheeting for Glazing and Infill Panels|||Withdrawn|	
32500|1|70/0070|1|1|Isf 500 Concrete Reinforcement for Floors|||Withdrawn|	
32501|1|70/0071|1|1|Klargester Settlement Tank|||Withdrawn|	
32502|1|70/0072|1|1|Marley 4In (102mm) UPVC Underground Drainage Pipe and Joint|||Withdrawn|	
32503|1|70/0073|1|1|Permabit 60 Bitumen Polymer Roofing|||Withdrawn|	
32504|1|70/0074|1|1|Imperial Grp Windows|||Withdrawn|	
32505|1|70/0075|1|1|Nurlene Damp Proof Course for Walls|||Withdrawn|	
32506|1|70/0076|1|1|Trans Canada Roll Lock Timber Fasteners|||Withdrawn|	
32507|1|70/0077|1|1|Vencel Thermodek Dry Roof Screed System|||Withdrawn|	
32508|1|70/0078|1|1|Marley Aquagard 90 Marley Aquagard 125 Damp Proof Course for Walls|||Withdrawn|	
32509|1|70/0079|1|1|Plastidrain 4In Nominal UPVC Underground Drainage System|||Withdrawn|	
32510|1|70/0080|1|1|Ruberquilt Insulating Roof Underslating|||Withdrawn|	
32511|1|71/0081|1|1|Uponal 4In Nominal UPVC Underground Drainage Fittings|||Withdrawn|	
32512|1|71/0082|1|1|Polydrain 4In Nominal UPVC Underground Drainage System|||Withdrawn|	
32513|1|71/0083|1|1|Foamglas Cellular Glass Insulation|||Withdrawn|	
32514|1|71/0084|1|1|Opella Taps|||Withdrawn|	
32515|1|71/0085|1|1|Solclip Rigid PVC Suspended Ceiling|||Withdrawn|	
32516|1|71/0086|1|1|Colorcoat PVC Plastisol Coated Galvanised Sheet Steel|||Withdrawn|	
32517|1|71/0087|1|1|Osmadrain Plastics Drainage Inspection Chamber Base|||Withdrawn|	
32518|1|71/0088|1|1|Screedmat Drying System for Lightweight Aggregate Concrete Roofing Screeds|||Withdrawn|	
32519|1|71/0089|1|1|New Profile 20 Gauge Gang-Nail Punched Metal Plate Timber Fasteners|||Withdrawn|	
32520|1|71/0090|1|1|Sbd Stone Paint|||Withdrawn|	
32521|1|71/0091|1|1|Rubboseal Grade 033 Glazing Sealant|||Withdrawn|	
32522|1|71/0092|1|1|Dorman Long Standard Lintel|||Withdrawn|	
32523|1|71/0093|1|1|Dorman Long Combined Lintel|||Withdrawn|	
32524|1|71/0094|1|1|Chemidus 3000 and Z Joint|||Withdrawn|	
32525|1|71/0095|1|1|Permaroof Fire Resistant Shingles|||Withdrawn|	
32526|1|71/0096|1|1|Manalox 403/60Ws Water Repellent for Masonry|||Withdrawn|	
32527|1|71/0097|1|1|Wavin 4In Nominal Bore UPVC Underground Drainage System|||Withdrawn|	
32528|1|71/0098|1|1|Ruberoid Resinphalt Underlay|||Withdrawn|	
32529|1|71/0099|1|1|Marley Rodding Point Drainage System 4In Nominal Bore|||Withdrawn|	
32530|1|71/0100|1|1|Superslide Mark 10V Vertically Sliding Aluminium Window|||Withdrawn|	
32531|1|71/0101|1|1|Bristrand 700 Concrete Reinforcement|||Withdrawn|	
32532|1|71/0102|1|1|Fordura 10 Polyurethane Flooring|||Withdrawn|	
32533|1|71/0103|1|1|Dacatie Cavity Closure/ Damp Proofing/ Frame Fixing Member|||Withdrawn|	
32534|1|71/0104|1|1|Formica Lifeseal UPVC Horizontal Pivot Window|||Withdrawn|	
32535|1|71/0105|1|1|Wavinsewer 6In Nominal Bore UPVC Underground Drainage System|||Withdrawn|	
32536|1|71/0106|1|1|Uponal 6In Nominal Bore UPVC Underground Drainage Fittings|||Withdrawn|	
32537|1|71/0107|1|1|Deltacyl Hot Water Cylinder|||Withdrawn|	
32538|1|71/0108|1|1|Gun-Lath Metal Lathing|||Withdrawn|	
32539|1|71/0109|1|1|Aqua-K-Lath Metal Lathing|||Withdrawn|	
32540|1|71/0110|1|1|Thermalite Autoclaved Aerated Concrete Blocks|||Withdrawn|	
32541|1|71/0111|1|1|Thermalite Autoclaved Aerated Concrete Blocks|||Withdrawn|	
32542|1|71/0112|1|1|Lytag Aggregates Light Weight Concrete Separating Walls|||Withdrawn|	
32543|1|71/0113|1|1|Grevak Monitor Waste Trap|||Withdrawn|	
32544|1|72/0114|1|1|Flashband Self-Adhesive Sealing Strip|||Withdrawn|	
32545|1|72/0115|1|1|Ductile Iron Pipes and Stantyte Joint|||Withdrawn|	
32546|1|72/0116|1|1|Aqua-K-Lath X Metal Lathing|||Withdrawn|	
32547|1|72/0117|1|1|Armourtile Linoleum Tile Flooring|||Withdrawn|	
32548|1|72/0118|1|1|Econa G and B 100mm Nominal Bore UPVC Underground Drainage System|||Withdrawn|	
32549|1|72/0119|1|1|Gascon Structural Concrete Units|||Withdrawn|	
32550|1|72/0120|1|1|Marleydek Flexible Sheet Roofing System|||Withdrawn|	
32551|1|72/0121|1|1|Ufoam Urea Formaldehyde Cavity Wall Insulation|||Withdrawn|	
32552|1|72/0122|1|1|Superslide Mark 10H Horizontally Sliding Aluminium Window|||Withdrawn|	
32553|1|72/0123|1|1|Module 100 Casement Galvanised Steel Windows|||Withdrawn|	
32554|1|72/0124|1|1|Module 100 Reversible Galvanised Steel Windows|||Withdrawn|	
32555|1|72/0125|1|1|Thermo-Barrier Model 418 Horizontally Sliding Aluminium Windows|||Withdrawn|	
32556|1|72/0126|1|1|Thermo-Barrier Model 421 Vertically Sliding Aluminium Double Windows|||Withdrawn|	
32557|1|72/0127|1|1|Hyload 75 Flexible Sheet Roof Covering|||Withdrawn|	
32558|1|72/0128|1|1|Estercrete Flooring Mix One Industrial Flooring|||Withdrawn|	
32559|1|72/0129|1|1|Redland Standard and Extramyte Concrete Pipes and Redflex Joints for Drainage|||Withdrawn|	
32560|1|72/0130|1|1|Mono Precast Concrete Inspection Chambers|||Withdrawn|	
32561|1|72/0131|1|1|Kavi-Ties Type T1 Cavity Wall Ties|||Withdrawn|	
32562|1|72/0132|1|1|Pozament Low Heat Cement|||Withdrawn|	
32563|1|72/0133|1|1|Struct-O-Nail Punched Metal Plate Timber Fasteners|||Withdrawn|	
32564|1|72/0134|1|1|Visqueen 800 Rtu Roof Tile Underlay|||Withdrawn|	
32565|1|72/0135|1|1|Rentokil Rockwool Cavity Wall Insulation|||Withdrawn|	
32566|1|72/0136|1|1|Blue Circle Exterior Waterproofer for Masonry|||Withdrawn|	
32567|1|72/0137|1|1|Veral Roof Covering System|||Withdrawn|	
32568|1|72/0138|1|1|Uniroof Flexible Sheet Roof Covering System|||Withdrawn|	
32569|1|72/0139|1|1|K 154 Masonry Waterproofing Solution|||Withdrawn|	
32570|1|72/0140|1|1|Neolith 625 Ss Chemical Stone Cleaner|||Withdrawn|	
32571|1|72/0141|1|1|Bicip Glass Fibre Windows|||Withdrawn|	
32572|1|72/0142|1|1|Polytred Db PVC Sheet Flooring|||Withdrawn|	
32573|1|72/0143|1|1|Polyflor PVC Tile and Sheet Flooring|||Withdrawn|	
32574|1|72/0144|1|1|Warmaroof Thermally Insulating Roof Underslatings|||Withdrawn|	
32575|1|72/0145|1|1|Bi-Steel Reinforcement for Concrete|||Withdrawn|	
32576|1|72/0146|1|1|Coloroc Cladding System|||Withdrawn|	
32577|1|72/0147|1|1|Permawarm Thermally Insulating Roof Underslating|||Withdrawn|	
32578|1|72/0148|1|1|Icl 5, Icl 6, Prefabricated Metal Chimneys|||Withdrawn|	
32579|1|72/0149|1|1|Cemsave Ground Granulated Blastfurnace Slag|||Withdrawn|	
32580|1|73/0150|1|1|Hepsleve 100mm and 150mm Drainage Systems|||Withdrawn|	
32581|1|73/0151|1|1|Cosyfelt Thermally Insulating Roof Underslating|||Withdrawn|	
32582|1|73/0152|1|1|Hepworth Grp Inspection Chamber|||Withdrawn|	
32583|1|73/0153|1|1|Sandtex Matt Surface Coating|||Withdrawn|	
32584|1|73/0154|1|1|Sandtex-Textured Surface Coating|||Withdrawn|	
32585|1|73/0155|1|1|Blue Circle Stabilising Solution|||Withdrawn|	
32586|1|73/0156|1|1|Warmawall Urea Formaldhyde Cavity Wall Insulation|||Withdrawn|	
32587|1|73/0157|1|1|Bitu-Thene Standard, 1000 and Heavy Duty Membranes|||Withdrawn|	
32588|1|73/0158|1|1|Corrply Beams|||Withdrawn|	
32589|1|73/0159|1|1|Permabit 50 Damp Proof Course for Walls|||Withdrawn|	
32590|1|73/0160|1|1|Tretolastex for Damp Proofing|||Withdrawn|	
32591|1|73/0161|1|1|Beetle Urea Formaldehyde Cavity Wall Insulation|||Withdrawn|	
32592|1|73/0162|1|1|Fiber-Tex-Cote-Glass Surface Coating|||Withdrawn|	
32593|1|73/0163|1|1|Armourtile 80 Linoleum Tile Flooring|||Withdrawn|	
32594|1|73/0164|1|1|Special Grey Finish Flashband Self-Adhesive Sealing Strip|||Withdrawn|	
32595|1|73/0165|1|1|Visqueen 120 Super Damp Proof Membrane|||Withdrawn|	
32596|1|73/0166|1|1|Ruberfilm Damp Proof Membrane|||Withdrawn|	
32597|1|73/0167|1|1|Thermoflue Precast Concrete Unit Chimneys|||Withdrawn|	
32598|1|73/0168|1|1|Marleytex Artois `S Floor Covering|||Withdrawn|	
32599|1|73/0169|1|1|Johnston Extra Strength Concrete Pipes and Flexible Joints for Drainage|||Withdrawn|	
32600|1|73/0170|1|1|Swiftcrete Ultra High Early Strength Cement|||Withdrawn|	
32601|1|73/0171|1|1|Sylglas Self-Adhesive Flashing Tape|||Withdrawn|	
32602|1|73/0172|1|1|Knapenite Masonry Water Repellent|||Withdrawn|	
32603|1|73/0173|1|1|Hyload Damp Proof Course and Cloaks for Walls|||Withdrawn|	
32604|1|73/0174|1|1|Permaflex Damp Proof Course for Walls|||Withdrawn|	
32605|1|73/0175|1|1|Weather Strip-Matt Finish Self-Adhesive Sealing Strip|||Withdrawn|	
32606|1|73/0176|1|1|Unisheet Flexible Sheet Roof Covering|||Withdrawn|	
32607|1|73/0177|1|1|Plastidrain 160mm Underground Drainage System|||Withdrawn|	
32608|1|73/0178|1|1|Uponal 200mm UPVC Underground Drainage Fittings|||Withdrawn|	
32609|1|73/0179|1|1|Econa 200mm UPVC Underground Drainage System|||Withdrawn|	
32610|1|73/0180|1|1|Osma 200mm UPVC Underground Drainage System|||Withdrawn|	
32611|1|73/0181|1|1|Plastidrain 00mm UPVC Underground Drainage System|||Withdrawn|	
32612|1|73/0182|1|1|Yorkshire Imperial Plastics 200mm UPVC Underground Drainage System|||Withdrawn|	
32613|1|73/0183|1|1|Hydro-Nail 18 Gauge E|||Withdrawn|	
32614|1|73/0184|1|1|Osmadrain Plastics Drainage Inspection Chamber Base|||Withdrawn|	
32615|1|73/0185|1|1|Stadium Panlink Bm 46 Wc Pan Connector|||Withdrawn|	
32616|1|73/0186|1|1|Instantseal Super Self-Adhesive Sealing Strip|||Withdrawn|	
32617|1|73/0187|1|1|Zincon Flashing Strip|||Withdrawn|	
32618|1|73/0188|1|1|Styrofoam Sm Roof Sarking Board|||Withdrawn|	
32619|1|73/0189|1|1|Corton Cleaner 21 Chemical Stone Cleaner|||Withdrawn|	
32620|1|73/0190|1|1|Ls1 Chemical Stone Cleaner|||Withdrawn|	
32621|1|73/0191|1|1|Parabolt Concrete Anchor Bolts|||Withdrawn|	
32622|1|73/0192|1|1|Hybar High Yield Hot Rolled Deformed Steel Bars for Reinforcement Of Concrete|||Withdrawn|	
32623|1|73/0193|1|1|Hybar High Yield Hot Rolled Deformed Steel Bars for Reinforcement Of Concrete|||Withdrawn|	
32624|1|73/0194|1|1|Hybar High Yield Hot Rolled Deformed Steel Bars for Reinforcement Of Concrete|||Withdrawn|	
32625|1|73/0195|1|1|Hybar High Yield Hot Rolled Deformed Steel Bars for Reinforcement Of Concrete|||Withdrawn|	
32626|1|73/0196|1|1|Hybar High Yield Hot Rolled Deformed Steel Bars for Reinforcement Of Concrete|||Withdrawn|	
32627|1|73/0197|1|1|Nurlene Damp Proof Course for Walls|||Withdrawn|	
32628|1|73/0198|1|1|Marscar Access System to Underground Drains|||Withdrawn|	
32629|1|73/0199|1|1|Trus-Nail 20 Gauge Punched Metal Plate Timber Fasteners|||Withdrawn|	
32630|1|73/0200|1|1|Redland Fibaflo Grp Non-Structural Tunnel and Pipe Liners|||Withdrawn|	
32631|1|73/0201|1|1|Permagrip Damp-Proof Course for Walls|||Withdrawn|	
32632|1|73/0202|1|1|Bevplate Series 70 Punched Metal Plate Timber Fasteners|||Withdrawn|	
32634|1|73/0204|1|1|Marley 110mm UPVC Underground Drainage Pipes and Joints|||Withdrawn|	
32637|1|74/0207|1|1|Ruberquilt Insulating Roof Underslating|||Withdrawn|	
32638|1|74/0208|1|1|Combo Lock 20 Gauge Punched Metal Plate Timber Fasteners|||Withdrawn|	
32640|1|74/0210|1|1|Thermabate UPVC Cavity Closer|||Withdrawn|	
32641|1|74/0211|1|1|Redland Fibaflo Grp Pipeline System (Conveyance Of Liquids Under Gravity Flow)|||Withdrawn|	
32642|1|74/0212|1|1|Twinaplate Punched Metal Plate Timber Fasteners|||Withdrawn|	
32643|1|74/0213|1|1|Discovac Damp-Proof Course Insertion System|||Withdrawn|	
32644|1|74/0214|1|1|Floorvoid Expanded Polystyrene Void Formers|||Withdrawn|	
32645|1|74/0215|1|1|Flotex Dcf 109|||Withdrawn|	
32646|1|74/0216|1|1|Solarfoam Urea Formaldehyde Cavity Wall Insulaion|||Withdrawn|	
32647|1|74/0217|1|1|Monarfol|||Withdrawn|	
32648|1|74/0218|1|1|Redland Fibaflo Grp Pipeline System for The Conveyance Of Potable Water Or......|||Withdrawn|	
32649|1|74/0219|1|1|Gang-Nail 14 Gauge Punched Metal Plate Timber Fasteners|||Withdrawn|	
32650|1|74/0220|1|1|Gang-Nail 18 Gauge Punched Metal Plate Timber Fasteners|||Withdrawn|	
32651|1|74/0221|1|1|Ness Silicone Injection Damp Course System|||Withdrawn|	
32652|1|74/0222|1|1|Dritherm Cavity Wall Insulation|||Withdrawn|	
32653|1|74/0223|1|1|Permabit 60 Bitumen Polymer Roofing|||Withdrawn|	
32654|1|74/0224|1|1|Blue Circle Stabilising Solution|||Withdrawn|	
32655|1|74/0225|1|1|New Profile 20 Gauge Gang-Nail Punched Metal Plate Timber Fasteners|||Withdrawn|	
32656|1|74/0226|1|1|H.D. Vinyl Tile and Sheet Flooring|||Withdrawn|	
32657|1|74/0227|1|1|Semflex Flexible Vinyl Tile and Sheet Flooring|||Withdrawn|	
32658|1|74/0228|1|1|Semflor Gc Flexible Vinyl Tile Flooring|||Withdrawn|	
32659|1|74/0229|1|1|Ht350 Flexible Sheet Roof Covering|||Withdrawn|	
32660|1|74/0230|1|1|Durabella Mk 10 and Mk 11B Sound Insulating Floor Battens|||Withdrawn|	
32661|1|74/0231|1|1|Plasticell D40|||Withdrawn|	
32662|1|74/0232|1|1|T C T Engineering Roll Lock Timber Fasteners|||Withdrawn|	
32663|1|74/0233|1|1|Portland Pozzolanic Cement 8020|||Withdrawn|	
32664|1|74/0234|1|1|Ubm Rubberised Bituminous Waterproofer for Floors|||Withdrawn|	
32665|1|74/0235|1|1|Catnic Lintes|||Withdrawn|	
32666|1|74/0236|1|1|Manalox 403/60Ws Water Repellent for Masonry|||Withdrawn|	
32667|1|74/0237|1|1|Screedmat Drying System for Lightweight Aggregate Concrete Roofing Screeds|||Withdrawn|	
32668|1|74/0238|1|1|Marleytex Artois T.X Textile Floor Covering|||Withdrawn|	
32669|1|74/0239|1|1|Cpc Panel Clip: Punched Metal Plate Timber Fasteners|||Withdrawn|	
32670|1|74/0240|1|1|Cpc Nail Plate Timber Fasteners|||Withdrawn|	
32671|1|74/0241|1|1|Thermalite Facing Blocks|||Withdrawn|	
32672|1|74/0242|1|1|Ubm Rubberised Bituminous Waterproofer for Walls|||Withdrawn|	
32673|1|74/0243|1|1|Unique Protective Coating (Upc) Concrete Surface Protection|||Withdrawn|	
32674|1|74/0244|1|1|Unilock Firesound 30/38 (Single) and 60/44 (Double) Partition Systems|||Withdrawn|	
32675|1|74/0245|1|1|Rubboseal Grade 033 Glazing Sealant|||Withdrawn|	
32676|1|74/0246|1|1|Modern Plan Insulation Urea Formaldehyde Cavity Wall Insulation|||Withdrawn|	
32677|1|74/0247|1|1|Sommer Tapisom 611 Textile Sheet Or Tile Floor Covering|||Withdrawn|	
32678|1|74/0248|1|1|Sommer Tapisom 600 Textile Sheet Floor Covering|||Withdrawn|	
32679|1|74/0249|1|1|Sommer Tapisom 300 Textile Sheet Floor Covering|||Withdrawn|	
32680|1|74/0250|1|1|Sommer Tapisom 1011 Textile Sheet Floor Covering|||Withdrawn|	
32681|1|74/0251|1|1|Sommer Tapiflex Triconfort Tx89 and Tx3113 PVC Sheet Floor Covering|||Withdrawn|	
32682|1|74/0252|1|1|Sommer Tapiflex Confort PVC Sheet Floor Covering|||Withdrawn|	
32683|1|74/0253|1|1|Thermodek Expanded Polystyrene Boards|||Withdrawn|	
32684|1|74/0254|1|1|Marley 110mm Sealed Access System for Building Drainage|||Withdrawn|	
